Frm,Track,xc,yc,w,h,Velocity(kmph)
25,7,2825,648,84,61,-0.284660795564909
25,1,2441,1520,97,130,26.2350818398336
25,9,2436,517,72,62,0.123029185581881
25,2,1990,863,135,70,35.4265212957432
25,19,3317,739,54,28,3.42765127219693
25,5,2491,404,86,49,1.32489966437317
25,16,1625,1423,44,46,24.04840724639
26,12,3468,1911,176,97,0.882983486768771
26,20,3328,704,50,33,3.55831950364799
26,6,2476,457,87,48,2.25628913365668
26,13,1847,1284,46,88,13.340257703305
26,4,2391,392,83,51,1.41441989657616
26,8,2526,643,75,65,0.955728050630304
26,10,2692,661,92,59,1.28796229245259
26,15,3633,648,111,45,3.05235843594528
26,14,1645,1427,102,48,25.4842987329262
26,11,2311,615,92,135,1.10090536682637
26,3,2375,994,135,73,37.121344530862
26,7,2825,648,84,61,-0.303043780991796
26,1,2444,1528,96,129,26.0687538788019
26,9,2435,516,72,62,0.808242398144724
26,2,2002,864,134,70,35.389768233044
26,19,3320,739,56,28,4.43563487311966
26,5,2492,404,86,49,1.63371806292245
26,21,1941,34,33,68,0
26,16,1634,1425,48,48,24.6574625911684
27,12,3468,1911,176,98,0.61105637461673
27,20,3330,703,50,32,5.08214680912969
27,6,2476,457,87,48,1.95990268198105
27,13,1849,1280,48,87,13.3867396859982
27,4,2391,392,83,51,1.20044066910978
27,8,2526,643,75,65,0.798336975369711
27,10,2692,661,92,59,1.07548238924722
27,15,3633,648,111,45,2.57060144215935
27,14,1652,1431,106,51,25.1564942956369
27,11,2311,616,92,136,1.33528084251331
27,3,2388,995,136,73,37.3433087165257
27,7,2825,648,84,61,-0.314436246157875
27,1,2447,1537,96,129,26.3957855541011
27,9,2435,516,71,61,0.69660912776352
27,2,2014,865,135,70,35.3554833597599
27,19,3321,738,55,29,3.57715349513325
27,5,2492,404,86,49,1.39647236670103
27,21,1941,38,35,77,11.6218544548192
27,16,1641,1429,53,51,24.3086205670128
28,12,3468,1911,175,98,0.378171358701921
28,20,3335,704,41,32,10.2416811620723
28,6,2476,456,88,49,2.19136153061276
28,13,1852,1276,48,88,13.6855001081871
28,4,2391,392,83,52,1.0079896069632
28,8,2526,643,75,65,0.657862210392288
28,10,2692,661,92,58,0.885868876258405
28,15,3634,648,111,45,2.65864797737335
28,14,1659,1436,104,50,25.1348047645709
28,11,2311,618,92,138,2.05125382106738
28,3,2401,995,137,73,37.5158595704612
28,7,2825,648,84,60,-0.319848530609572
28,1,2449,1545,95,130,26.0597035709848
28,9,2436,517,73,62,1.30499310063947
28,2,2025,865,134,70,34.8008114554833
28,19,3323,739,52,29,3.76839118171903
28,5,2491,404,86,48,1.68408153772695
28,21,1943,44,38,88,18.4121263278799
29,12,3467,1911,176,99,0.676703315973509
29,20,3340,703,36,30,13.1736862225418
29,6,2476,456,88,50,1.89612754501792
29,13,1853,1273,48,84,13.032087906154
29,4,2391,393,83,52,1.33183786356449
29,8,2526,643,75,65,0.532750162136565
29,10,2692,661,92,56,0.717019669097832
29,15,3634,648,111,45,2.22635040257378
29,14,1668,1439,101,51,25.5550744614009
29,11,2311,619,92,139,2.19777979746708
29,3,2414,995,136,73,37.6635535180619
29,7,2825,649,83,60,0.176483845623081
29,1,2450,1552,94,130,25.1706514322784
29,9,2437,517,74,63,1.64066919247057
29,2,2037,866,134,70,34.8219725230248
29,19,3323,738,53,29,2.87302715075331
29,5,2491,404,86,48,1.44204712095624
29,21,1946,51,40,98,22.693848763656
29,16,1656,1435,55,49,24.0429388432295
30,12,3466,1911,175,99,0.95454426175968
30,20,3342,703,35,28,11.1677087997976
30,6,2476,455,87,51,2.1180173985209
30,13,1854,1267,47,87,13.8764844528815
30,4,2391,393,84,53,1.12952558010968
30,8,2526,643,75,64,0.421695220193612
30,10,2690,661,89,54,1.55209433677546
30,15,3634,649,112,45,2.34190945692464
30,14,1677,1442,101,54,25.9319589115644
30,11,2312,620,93,140,2.53303985481296
30,3,2426,995,137,72,37.2965024523326
30,7,2825,650,83,58,0.625345180480239
30,1,2453,1560,96,131,25.0963499314435
30,9,2437,517,74,63,1.44407150956576
30,2,2048,866,133,70,34.3299641284802
30,19,3323,738,57,28,1.4172263457974
30,5,2491,404,86,48,1.22172686165385
30,21,1949,61,42,103,29.6770020083679
30,16,1664,1440,54,52,24.7160976167316
31,12,3467,1911,175,98,1.21228295650215
31,20,3345,703,34,28,10.898983073797
31,6,2476,455,87,52,1.82429465286195
31,13,1856,1263,48,85,13.8433675812261
31,4,2390,393,84,52,1.43499782643383
31,8,2526,642,75,64,0.812699069244127
31,10,2690,661,89,54,1.32663148538089
31,15,3635,649,113,46,2.44521763565542
31,14,1684,1447,99,55,25.835978165836
31,11,2312,621,94,141,2.63090709167814
31,3,2439,996,137,71,37.4672185438313
31,7,2825,649,83,59,1.02984945017914
31,1,2456,1569,97,130,25.4928423054899
31,9,2437,517,73,62,1.26090495307352
31,2,2062,866,136,70,35.3569079573987
31,19,3324,738,60,28,1.08608865306186
31,5,2491,404,87,48,1.02183663591815
31,21,1952,72,42,103,34.203937639385
31,16,1672,1444,47,52,24.9686162908562
32,12,3466,1911,175,99,1.45040199954483
32,20,3346,704,34,31,9.08015717750583
32,6,2476,455,88,52,1.55449540573198
32,13,1857,1258,48,86,14.109504728632
32,4,2390,393,85,52,1.22330176161733
32,8,2526,642,75,65,0.680822908205583
32,10,2688,660,85,53,2.2084109089562
32,15,3635,649,114,46,2.04482299575911
32,14,1692,1451,96,56,25.9116444005655
32,11,2312,622,95,140,2.71631087632747
32,3,2452,996,135,70,37.5977645546041
32,7,2825,650,83,58,1.39273380247397
32,1,2459,1577,96,131,25.3938987454927
32,9,2437,517,73,63,1.09095869782221
32,2,2075,866,139,70,35.8005144661355
32,19,3324,738,63,31,0.138336873804752
32,5,2491,404,87,48,0.841254086680092
32,21,1954,84,42,107,37.4780715641558
32,16,1680,1448,52,52,25.180774597064
33,12,3466,1911,175,99,1.18486473006421
33,20,3348,704,34,31,8.30566135507777
33,6,2476,454,87,52,1.79233418590896
33,13,1858,1254,46,85,13.8689384243441
33,4,2389,393,86,52,1.51420644108442
33,8,2526,642,75,65,0.561370136201526
33,10,2689,660,90,57,2.40481284346508
33,15,3635,649,114,46,1.6839358639121
33,14,1701,1455,97,58,26.4149425444639
33,11,2312,622,94,139,2.30577365825423
33,3,2464,996,136,71,37.2258567353454
33,7,2825,649,83,59,1.71649483638889
33,1,2462,1585,94,131,25.3043216957701
33,9,2437,517,74,63,0.9340380631584
33,2,2086,866,138,70,35.2302249341544
33,19,3328,736,51,30,2.46985566619614
33,5,2491,404,87,48,0.678954959477981
33,21,1955,95,40,107,37.6436503010845
33,16,1688,1452,54,53,25.3601585971229
34,12,3466,1911,175,99,0.94660293006758
34,20,3348,704,36,31,5.99226394406499
34,6,2476,454,87,53,1.52363905397002
34,13,1860,1250,47,83,13.8105305573041
34,4,2389,393,86,52,1.29371084531163
34,23,2675,700,53,31,0
34,8,2526,642,76,65,0.453786440051817
34,10,2690,661,91,55,2.77587160632189
34,15,3635,649,114,47,1.36012452909272
34,14,1707,1460,96,60,25.8823905247437
34,11,2312,622,93,137,1.93070610617299
34,3,2477,996,136,71,37.3664146730574
34,7,2825,649,84,60,1.52054798144063
34,1,2464,1594,95,131,25.549932877343
34,9,2437,516,74,63,1.27286951633365
34,2,2097,866,136,70,34.7093882595553
34,19,3332,735,46,30,4.16776069754329
34,5,2491,403,87,48,1.01690602113701
34,21,1958,106,39,104,38.016702138125
35,12,3466,1911,176,99,0.734234714035587
35,20,3349,704,38,31,5.05132004659461
35,6,2476,454,87,53,1.27763159296892
35,13,1863,1245,47,85,14.4052499394522
35,4,2390,393,86,53,1.57300600318565
35,23,2676,700,53,31,2.90546361370481
35,8,2526,642,76,65,0.357518187585675
35,10,2690,661,91,54,2.42337887270123
35,15,3635,649,114,47,1.0711709624634
35,14,1715,1464,95,61,25.9395490628429
35,11,2313,623,92,136,2.27146585871186
35,3,2490,996,136,72,37.4908491208842
35,7,2825,649,83,58,1.33529968864167
